Epoch,Test_ACC,Test_ASR
-1,90.30000305175781,99.95555877685547
0,89.96666717529297,95.21111297607422
1,90.45555877685547,26.22222328186035
2,90.5,7.422222137451172
3,90.71111297607422,3.711111068725586
4,90.67778015136719,2.444444417953491
5,91.0,1.5333333015441895
6,90.9000015258789,1.5666667222976685
7,91.0888900756836,1.211111068725586
8,91.0999984741211,1.0333333015441895
9,91.04444885253906,1.0222222805023193
10,91.11111450195312,0.9666666984558105
11,91.24444580078125,0.8555555939674377
12,91.22222137451172,0.8555555939674377
13,91.14444732666016,0.9555555582046509
14,91.30000305175781,0.7888888716697693
15,91.25555419921875,0.9000000357627869
16,91.14444732666016,0.7333333492279053
17,91.27777862548828,0.7333333492279053
18,91.04444885253906,0.8888888955116272
19,91.13333129882812,0.7888888716697693
