model_name,pruning_rate,layer_name,accuracy_clean,accuracy_backdoor,untargeted_attack_success_rate,targeted_attack_success_rate
resnet18,0.0,layer4.0.conv1,90.26442307692308,16.927083333333332,0.8124722592099423,94.01041666666667
resnet18,0.1,layer4.0.conv1,89.7235576923077,16.927083333333332,0.8124722592099423,94.01041666666667
resnet18,0.2,layer4.0.conv1,88.27123397435898,17.708333333333332,0.8038171327119397,92.96875
resnet18,0.3,layer4.0.conv1,86.43830128205128,18.75,0.7922769640479361,91.92708333333333
resnet18,0.4,layer4.0.conv1,83.81410256410257,19.53125,0.7836218375499334,91.14583333333333
resnet18,0.5,layer4.0.conv1,81.66065705128206,17.447916666666668,0.8067021748779405,92.44791666666667
resnet18,0.6,layer4.0.conv1,76.62259615384616,17.96875,0.8009320905459387,91.92708333333333
resnet18,0.7,layer4.0.conv1,71.2139423076923,20.052083333333332,0.7778517532179317,88.80208333333333
resnet18,0.8,layer4.0.conv1,58.32331730769231,20.572916666666668,0.7720816688859299,88.28125
resnet18,0.9,layer4.0.conv1,32.86258012820513,17.447916666666668,0.8067021748779405,86.71875
resnet18,1.0,layer4.0.conv1,25.701121794871796,16.40625,0.8182423435419441,89.0625
resnet18,0.0,layer4.0.conv2,90.26442307692308,16.927083333333332,0.8124722592099423,94.01041666666667
resnet18,0.1,layer4.0.conv2,90.24439102564102,17.447916666666668,0.8067021748779405,93.48958333333333
resnet18,0.2,layer4.0.conv2,89.56330128205128,17.96875,0.8009320905459387,93.22916666666667
resnet18,0.3,layer4.0.conv2,88.86217948717949,17.708333333333332,0.8038171327119397,93.22916666666667
resnet18,0.4,layer4.0.conv2,86.56850961538461,16.927083333333332,0.8124722592099423,94.01041666666667
resnet18,0.5,layer4.0.conv2,83.84415064102564,17.1875,0.8095872170439414,93.48958333333333
resnet18,0.6,layer4.0.conv2,79.35697115384616,16.666666666666668,0.8153573013759432,93.75
resnet18,0.7,layer4.0.conv2,74.62940705128206,17.708333333333332,0.8038171327119397,92.44791666666667
resnet18,0.8,layer4.0.conv2,59.01442307692308,16.666666666666668,0.8153573013759432,92.70833333333333
resnet18,0.9,layer4.0.conv2,52.13341346153846,19.270833333333332,0.7865068797159344,87.5
resnet18,1.0,layer4.0.conv2,33.463541666666664,17.447916666666668,0.8067021748779405,81.25
resnet18,0.0,layer4.1.conv1,90.26442307692308,16.927083333333332,0.8124722592099423,94.01041666666667
resnet18,0.1,layer4.1.conv1,88.76201923076923,17.1875,0.8095872170439414,94.01041666666667
resnet18,0.2,layer4.1.conv1,87.32972756410257,16.666666666666668,0.8153573013759432,94.27083333333333
resnet18,0.3,layer4.1.conv1,84.24479166666667,15.625,0.8268974700399467,95.57291666666667
resnet18,0.4,layer4.1.conv1,84.70552884615384,15.364583333333334,0.8297825122059477,95.83333333333333
resnet18,0.5,layer4.1.conv1,82.28165064102564,15.364583333333334,0.8297825122059477,95.83333333333333
resnet18,0.6,layer4.1.conv1,73.96834935897436,14.583333333333334,0.8384376387039503,96.61458333333333
resnet18,0.7,layer4.1.conv1,55.94951923076923,13.020833333333334,0.8557478916999556,98.4375
resnet18,0.8,layer4.1.conv1,65.78525641025641,14.0625,0.844207723035952,96.875
resnet18,0.9,layer4.1.conv1,64.69350961538461,14.0625,0.844207723035952,95.83333333333333
resnet18,1.0,layer4.1.conv1,46.21394230769231,42.96875,0.5239680426098535,27.083333333333332
resnet18,0.0,layer4.1.conv2,90.26442307692308,16.927083333333332,0.8124722592099423,94.01041666666667
resnet18,0.1,layer4.1.conv2,89.39302884615384,22.395833333333332,0.7518863737239236,88.28125
resnet18,0.2,layer4.1.conv2,87.96073717948718,26.041666666666668,0.7114957833999112,84.63541666666667
resnet18,0.3,layer4.1.conv2,86.27804487179488,27.083333333333332,0.6999556147359077,83.33333333333333
resnet18,0.4,layer4.1.conv2,84.62540064102564,27.083333333333332,0.6999556147359077,82.8125
resnet18,0.5,layer4.1.conv2,81.13982371794872,25.78125,0.7143808255659121,81.25
resnet18,0.6,layer4.1.conv2,75.32051282051282,23.697916666666668,0.7374611628939192,81.51041666666667
resnet18,0.7,layer4.1.conv2,63.962339743589745,22.916666666666668,0.7461162893919219,77.60416666666667
resnet18,0.8,layer4.1.conv2,47.38581730769231,23.4375,0.7403462050599201,65.625
resnet18,0.9,layer4.1.conv2,29.737580128205128,17.96875,0.8009320905459387,26.302083333333332
resnet18,1.0,layer4.1.conv2,24.278846153846153,17.447916666666668,0.8067021748779405,0.0
