model_name,pruning_rate,layer_name,accuracy_clean,accuracy_backdoor,untargeted_attack_success_rate,targeted_attack_success_rate
resnet18,0.0,layer4.0.conv1,90.83533653846153,12.239583333333334,0.8652552651891057,96.61458333333333
resnet18,0.1,layer4.0.conv1,87.59014423076923,11.979166666666666,0.8681221744404014,96.875
resnet18,0.2,layer4.0.conv1,82.1113782051282,11.71875,0.8709890836916969,97.13541666666667
resnet18,0.3,layer4.0.conv1,62.970753205128204,10.15625,0.8881905391994707,98.69791666666667
resnet18,0.4,layer4.0.conv1,64.04246794871794,10.677083333333334,0.8824567206968794,98.17708333333333
resnet18,0.5,layer4.0.conv1,51.42227564102564,10.416666666666666,0.885323629948175,98.4375
resnet18,0.6,layer4.0.conv1,53.03485576923077,10.416666666666666,0.885323629948175,98.4375
resnet18,0.7,layer4.0.conv1,37.760416666666664,9.635416666666666,0.8939243577020619,99.21875
resnet18,0.8,layer4.0.conv1,15.614983974358974,8.854166666666666,0.9025250854559488,100.0
resnet18,0.9,layer4.0.conv1,10.276442307692308,8.854166666666666,0.9025250854559488,100.0
resnet18,1.0,layer4.0.conv1,9.99599358974359,8.854166666666666,0.9025250854559488,100.0
resnet18,0.0,layer4.0.conv2,90.83533653846153,12.239583333333334,0.8652552651891057,96.61458333333333
resnet18,0.1,layer4.0.conv2,90.51482371794872,12.239583333333334,0.8652552651891057,96.61458333333333
resnet18,0.2,layer4.0.conv2,90.08413461538461,11.979166666666666,0.8681221744404014,96.875
resnet18,0.3,layer4.0.conv2,89.26282051282051,11.71875,0.8709890836916969,96.61458333333333
resnet18,0.4,layer4.0.conv2,87.08934294871794,11.458333333333334,0.8738559929429925,96.35416666666667
resnet18,0.5,layer4.0.conv2,83.66386217948718,11.197916666666666,0.8767229021942883,96.61458333333333
resnet18,0.6,layer4.0.conv2,78.97636217948718,11.458333333333334,0.8738559929429925,96.35416666666667
resnet18,0.7,layer4.0.conv2,75.6610576923077,10.9375,0.8795898114455838,96.61458333333333
resnet18,0.8,layer4.0.conv2,60.55689102564103,10.416666666666666,0.885323629948175,95.3125
resnet18,0.9,layer4.0.conv2,59.3349358974359,10.677083333333334,0.8824567206968794,95.57291666666667
resnet18,1.0,layer4.0.conv2,53.9463141025641,13.802083333333334,0.8480538096813319,89.32291666666667
resnet18,0.0,layer4.1.conv1,90.83533653846153,12.239583333333334,0.8652552651891057,96.61458333333333
resnet18,0.1,layer4.1.conv1,90.3145032051282,12.239583333333334,0.8652552651891057,96.61458333333333
resnet18,0.2,layer4.1.conv1,89.22275641025641,11.979166666666666,0.8681221744404014,96.875
resnet18,0.3,layer4.1.conv1,88.22115384615384,11.979166666666666,0.8681221744404014,96.875
resnet18,0.4,layer4.1.conv1,85.38661858974359,11.71875,0.8709890836916969,97.13541666666667
resnet18,0.5,layer4.1.conv1,81.65064102564102,11.71875,0.8709890836916969,97.13541666666667
resnet18,0.6,layer4.1.conv1,83.80408653846153,11.71875,0.8709890836916969,97.13541666666667
resnet18,0.7,layer4.1.conv1,82.65224358974359,11.458333333333334,0.8738559929429925,97.39583333333333
resnet18,0.8,layer4.1.conv1,80.44871794871794,11.458333333333334,0.8738559929429925,97.39583333333333
resnet18,0.9,layer4.1.conv1,67.60817307692308,11.71875,0.8709890836916969,96.09375
resnet18,1.0,layer4.1.conv1,47.62620192307692,15.104166666666666,0.8337192634248539,83.85416666666667
resnet18,0.0,layer4.1.conv2,90.83533653846153,12.239583333333334,0.8652552651891057,96.61458333333333
resnet18,0.1,layer4.1.conv2,89.84375,12.239583333333334,0.8652552651891057,96.09375
resnet18,0.2,layer4.1.conv2,88.31129807692308,13.28125,0.8537876281839233,95.05208333333333
resnet18,0.3,layer4.1.conv2,86.65865384615384,12.760416666666666,0.8595214466865145,94.79166666666667
resnet18,0.4,layer4.1.conv2,83.9042467948718,12.760416666666666,0.8595214466865145,94.79166666666667
resnet18,0.5,layer4.1.conv2,78.32532051282051,12.760416666666666,0.8595214466865145,94.79166666666667
resnet18,0.6,layer4.1.conv2,69.6514423076923,12.239583333333334,0.8652552651891057,94.79166666666667
resnet18,0.7,layer4.1.conv2,53.8661858974359,11.458333333333334,0.8738559929429925,94.79166666666667
resnet18,0.8,layer4.1.conv2,35.78725961538461,9.114583333333334,0.8996581762046532,92.44791666666667
resnet18,0.9,layer4.1.conv2,19.71153846153846,9.375,0.8967912669533575,86.19791666666667
resnet18,1.0,layer4.1.conv2,15.71514423076923,15.625,0.8279854449222627,2.6041666666666665
